REF DU MUSEE,NEW REGIONS,NOM DU MUSEE,VILLE,Fréquentation,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Column
7510107,ÎLE-DE-France,Musées Arts Décoratifs  Mode et du Textile,PARIS,Totale,144 390,84 466,163 230,184 119,166 632,288 179,421 373,415 595,409 131,492 654,486 148,603 098,481 432,308 701,247 199,552 805,
7510801,ÎLE-DE-France,Musée Nissim de Camondo (Les Arts Décoratifs),PARIS,Totale,47 938,41 880,38 860,48 634,44 481,39 062,38 121,42 321,45 943,56 103,54 012,51 969,51 961,47 687,50 378,45 111,
7510705,ÎLE-DE-France,Etablissement Public du Musée d'Orsay,PARIS,Totale,1 664 678,2 127 779,1 829 574,2 590 316,2 929 282,3 009 203,3 166 509,3 025 164,3 022 012,2 985 510,3 144 449,3 579 130,3 467 321,3 480 609,3 439 832,2 997 625,
7511603,ÎLE-DE-France,Etablissement Public du Musée des Arts Asiatiques Guimet,PARIS,Totale,437 554,339 740,311 899,260 153,313 449,263 933,309 509,360 016,246 835,224 178,238 917,264 856,388 622,311 385,259 226,254 198,
7510106,ÎLE-DE-France,Musée du Louvre,PARIS,Totale,5 163 925,5 784 000,5 726 640,6 894 000,7 511 000,8 314 000,8 224 643,8 422 207,8 387 667,8 346 421,8 663 992,9 437 743,9 134 267,9 101 874,8 369 433,7 038 404,
7510602,ÎLE-DE-France,Musée National Eugène Delacroix,PARIS,Totale,44 118,24 657,33 774,40 222,42 497,34 044,38 425,38 766,46 930,67 572,46 954,59 651,64 408,68 416,51 296,58 148,
7510303,ÎLE-DE-France,Musée d'Art et d'Histoire du Judaïsme,PARIS,Totale,89 883,82 271,60 937,84 609,85 807,104 040,137 932,100 109,91 260,127 221,150 379,101 031,117 644,122 868,91 228,84 704,
7510304,ÎLE-DE-France,Musée National des Techniques (Conservatoire National des Arts et Métiers),PARIS,Totale,149 442,163 150,151 323,215 178,203 124,184 484,152 817,232 458,203 066,210 048,225 192,239 200,289 386,242 879,226 098,205 769,
7510306,ÎLE-DE-France,"Musée Cognacq-Jay, Musée du XVIIIe siècle de la ville de Paris",PARIS,Totale,33 289,36 053,33 102,34 938,38 922,33 883,24 786,41 303,50 776,44 086,66 543,57 393,51 384,53 849,66 882,53 349,
7510307,ÎLE-DE-France,Musée Carnavalet-Histoire de Paris,PARIS,Totale,249 836,490 048,665 440,395 355,672 722,797 121,868 117,1 108 079,1 002 809,1 091 105,605 423,616 645,428 752,437 784,319 665,195 792,
7510402,ÎLE-DE-France,Musée National d'Art Moderne (Centre National d'Art et de Culture Georges Pompidou),PARIS,Totale,3 674 008,2 469 154,2 482 967,2 589 825,2 327 336,2 711 331,2 696 857,2 850 490,3 656 759,3 255 080,3 717 251,3 878 053,3 832 411,3 520 363,3 120 303,3 428 688,
7510405,ÎLE-DE-France,Maison de Victor Hugo,PARIS,Totale,65 380,124 630,131 399,167 671,123 223,127 230,129 862,134 289,147 760,162 658,175 150,193 554,160 158,176 946,127 199,123 188,
7510501,ÎLE-DE-France,Musée National du Moyen Age-Thermes de Cluny,PARIS,Totale,263 036,300 004,258 764,328 308,290 982,289 958,293 975,360 100,314 557,306 145,318 068,310 063,300 490,317 357,276 927,230 188,
7510608,ÎLE-DE-France,Musée Zadkine,PARIS,Totale,19 786,21 368,22 111,19 973,13 278,6 715,17 440,21 370,26 358,26 696,17 074,8 710,40 324,48 607,23 249,20 749,
7510701,ÎLE-DE-France,Musée de l'Armée,PARIS,Totale,1 028 711,1 014 945,990 650,1 031 945,1 070 122,1 100 000,1 142 371,1 266 181,1 221 796,1 427 425,1 433 850,1 404 739,1 375 024,1 525 030,1 410 191,1 206 065,
7510703,ÎLE-DE-France,Musée National Auguste Rodin,PARIS,Totale,556 290,558 936,513 350,533 449,594 356,614 867,690 675,754 963,692 581,714 268,726 159,718 814,689 882,687 257,552 024,584 007,
7510802,ÎLE-DE-France,Musée de la Musique,PARIS,Totale,133 996,143 811,149 861,130 204,119 456,124 155,85 629,124 682,196 071,147 675,246 418,188 183,199 221,170 623,379 794,274 159,
7510901,ÎLE-DE-France,Musée National Gustave Moreau,PARIS,Totale,24 379,28 529,34 951,33 423,32 943,29 633,32 592,32 646,32 643,38 665,38 092,40 905,22 375,41 351,58 239,51 956,
7510905,ÎLE-DE-France,Musée de la Vie Romantique,PARIS,Totale,46 109,52 130,60 074,148 899,61 555,71 901,62 617,79 799,81 829,140 668,111 944,103 267,75 667,75 193,88 348,118 006,
7511201,ÎLE-DE-France,Etablissement public de la Porte Dorée - Aquarium Tropical,PARIS,Totale,274 540,314 724,203 487,266 903,201 801,217 673,205 369,190 380,209 333,257 151,201 721,227 127,212 497,263 518,168 365,177 630,
7511502,ÎLE-DE-France,Musée Bourdelle,PARIS,Totale,34 920,39 351,37 748,40 989,38 752,44 059,49 810,62 408,48 726,62 211,122 524,64 560,66 603,30 066,42 592,39 377,
7511503,ÎLE-DE-France,Musée du Maréchal Leclerc de Hautecloque et de la Libération de Paris - Musée Jean Moulin,PARIS,Totale,10 912,15 628,16 683,21 828,14 988,14 270,14 418,16 926,23 982,15 452,17 952,14 747,18 693,76 460,10 659,13 299,
7511615,ÎLE-DE-France,Musée d'Art Moderne de la ville de Paris,PARIS,Totale,341 942,376 570,331 847,97 187,80 726,777 983,388 481,832 088,708 720,679 611,601 617,398 400,695 376,593 300,670 041,613 402,
7511616,ÎLE-DE-France,Maison de Balzac,PARIS,Totale,23 689,29 829,23 777,24 311,22 224,19 106,20 799,21 457,37 247,47 682,53 314,12 148,44 038,40 036,27 572,33 663,
7511618,ÎLE-DE-France,Musée National de la Marine,PARIS,Totale,338 577,305 904,168 272,154 229,202 104,110 239,163 550,243 283,171 455,170 004,208 898,181 685,177 499,152 360,98 150,86 966,
7511801,ÎLE-DE-France,Musée de Montmartre,PARIS,Totale,37 264,40 656,48 928,39 939,46 208,46 830,30 164,42 859,54 354,37 856,44 207,60 000,85 000,75 407,90 565,116 160,
