musee,located on street,Adresse_2,postal code,Nom officiel du musée,lat,long,lat_long
Azzedine Alaïa Gallery,18 rue Verrerie,"18 rue Verrerie, 75004",75004,Association Azzedine Alaïa,48.857507,2.354742,"48.857507, 2.354742"
Ateliers-musée Chana Orloff,7 villa Seurat,"7 villa Seurat, 75014",75014,Ateliers-musée Chana Orloff,48.82624920026018,2.3326475816657615,"48.82624920026018, 2.3326475816657615"
Library-museum of the Comédie-Française,galerie de Beaujolais,"98 galerie de Beaujolais, 75001",75001,Bibliothèque-musée De La Comédie-française,48.86603124016241,2.3387050258435806,"48.86603124016241, 2.3387050258435806"
Galerie Mathgoth,34 rue Hélène Brion,"34 rue Hélène Brion, 75013",75013,Galerie Mathgoth,48.827938,2.380303,"48.827938, 2.380303"
Jewish Art Museum,71 rue Temple,"71 rue Temple, 75003",75003,Musée D’art Et D’histoire Du Judaïsme,48.89027778,2.34055556,"48.89027778, 2.34055556"
Petit Musée de l'Argenterie,111 avenue Daumesnil,"111 avenue Daumesnil, 75012",75012,Petit Musée De L'argenterie,48.845,2.38055556,"48.845, 2.38055556"
Fondation Le Corbusier,10 square du Docteur-Blanche,"10 square du Docteur-Blanche, 75016",75016,Fondation Le Corbusier,48.851911,2.265248,"48.851911, 2.265248"
Museum of French History,60 rue des Francs-Bourgeois,"60 rue des Francs-Bourgeois, 75003",75003,Maison De L'histoire De France,48.85964,2.359593,"48.85964, 2.359593"
Musée Adzak,rue Jonquoy,"3 rue Jonquoy, 75014",75014,Musée Adzak,48.83027778,2.31416667,"48.83027778, 2.31416667"
Musée Baccarat,place des États-Unis,"11 place des États-Unis, 75016",75016,Musée Baccarat,48.867777777778,2.2936111111111,"48.867777777778, 2.2936111111111"
musée Boleslas Biegas,6 quai d'Orléans,"6 quai d'Orléans, 75004",75004,Musée Boleslas Biegas,48.8512,2.35565,"48.8512, 2.35565"
Musée Bouilhet-Christofle,rue Royale,"9 rue Royale, 75008",75008,Musée Bouilhet-christofle,48.86777778,2.3225,"48.86777778, 2.3225"
Musée Moissan,4 avenue de l'Observatoire,"4 avenue de l'Observatoire, 75006",75006,Musée Moissan,48.84361111,2.33638889,"48.84361111, 2.33638889"
Musée Pasteur,rue du Docteur-Roux,"25 rue du Docteur-Roux, 75015",75015,Musée Pasteur,48.84028,2.31139,"48.84028, 2.31139"
Musée Valentin Haüy,rue Duroc,"5 rue Duroc, 75007",75007,Musée Valentin-haüy,48.84777778,2.31416667,"48.84777778, 2.31416667"
Musée d'Histoire Contemporaine,rue de Grenelle,"129 rue de Grenelle, 75007",75007,Musée D'histoire Contemporaine,48.858063,2.311522,"48.858063, 2.311522"
Musée de Notre Dame de Paris,rue du Cloître-Notre-Dame,"10 rue du Cloître-Notre-Dame, 75004",75004,Musée De Notre Dame De Paris,48.85333333,2.35013889,"48.85333333, 2.35013889"
Musée de Radio France,avenue du Président-Kennedy,"116 avenue du Président-Kennedy, 75016",75016,Musée De Radio France,48.8525,2.27833333,"48.8525, 2.27833333"
Musée de l'Homme,Place du Trocadéro,"17 Place du Trocadéro, 75016",75016,Musée De L'homme,48.86218,2.28741,"48.86218, 2.28741"
Musée des Collections Historiques de la Préfecture de Police,rue de la Montagne-Sainte-Geneviève,"4 rue de la Montagne-Sainte-Geneviève, 75005",75005,Musée De La Préfecture De Police,48.8495,2.3482,"48.8495, 2.3482"
Musée du Fumeur,rue Pache,"7 rue Pache, 75011",75011,Musée Du Fumeur,48.85861111,2.38222222,"48.85861111, 2.38222222"
Musée social,5 Rue las Cases,"5 Rue las Cases, 75007",75007,Musée Social,48.858068,2.321866,"48.858068, 2.321866"
Théâtre-Musée des Capucines,boulevard des Capucines,"39 boulevard des Capucines, 75002",75002,Théâtre-musée Des Capucines,48.8699,2.32917,"48.8699, 2.32917"
