REF DU MUSEE,NOM DU MUSEE,ANNEE,REGION,VILLE,DATE APPELLATION,PAYANT,GRATUIT,TOTAL,NOTE,ID MUSEOFILE,DEPARTEMENT,OBSERVATIONS
7510703,Musée National Auguste Rodin,2011,ILE-DE-FRANCE,PARIS,06/01/2002,468536,257623,726159,,,PARIS,
7510402,Musée National d'Art Moderne (Centre National d'Art et de Culture Georges Pompidou),2011,ILE-DE-FRANCE,PARIS,06/01/2002,3717251,0,3717251,,,PARIS,
7510808,"Petit Palais, Musée des Beaux-Arts de la ville de Paris",2013,ILE-DE-FRANCE,PARIS,08/07/2004,164506,364466,528972,,,PARIS,
7510703,Musée National Auguste Rodin,2013,ILE-DE-FRANCE,PARIS,06/01/2002,442403,247479,689882,,,PARIS,
7510705,Etablissement public du musée d'Orsay et de l'Orangerie - Musée d'Orsay,2013,ILE-DE-FRANCE,PARIS,06/01/2002,2017847,1449474,3467321,,,PARIS,
7510701,Musée de l'Armée,2014,ILE-DE-FRANCE,PARIS,06/01/2002,1004340,520690,1525030,,,PARIS,
7510709,Musée du Quai Branly,2015,ILE-DE-FRANCE,PARIS,09/12/2004,317688,716938,1034626,,,PARIS,
7510106,Musée du Louvre,2017,ILE-DE-FRANCE,PARIS,06/01/2002,5411926,2610343,8022269,,,PARIS,
7510102,Musée des Arts Décoratifs (Union Centrale des Arts Décoratifs),2017,ILE-DE-FRANCE,PARIS,06/01/2002,624635,245162,869797,,,PARIS,7510102 ; 7510107 ; 7511001
7510709,Musée du Quai Branly - Jacques Chirac,2017,ILE-DE-FRANCE,PARIS,09/12/2004,546417,627297,1173714,,,PARIS,
7510103,Etablissement public du musée d'Orsay et de l'Orangerie - Musée de l'Orangerie,2018,ILE-DE-FRANCE,PARIS,06/01/2002,636405,367882,1004287,,,PARIS,
7510402,Musée National d'Art Moderne (Centre National d'Art et de Culture Georges Pompidou),2018,ILE-DE-FRANCE,PARIS,06/01/2002,2620481,1070337,3690818,,,PARIS,
