item,itemLabel,imageLink
http://www.wikidata.org/entity/Q3330124,musée des années trente,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20ann%C3%A9es%2030%20boulogne%201.jpg
http://www.wikidata.org/entity/Q3329303,musée Paul-Belmondo,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Paul%20Belmondo%20%C3%A0%20Boulogne-Billancourt%20001.jpg
http://www.wikidata.org/entity/Q3330300,"musée des transports urbains, interurbains et ruraux",http://commons.wikimedia.org/wiki/Special:FilePath/MALAKOFF%20-%20Int%C3%A9rieur%20du%20d%C3%A9pot%20des%20Tramways.jpg
http://www.wikidata.org/entity/Q3075375,fondation Arp,http://commons.wikimedia.org/wiki/Special:FilePath/Fa%C3%A7ade%20du%20b%C3%A2timent%20de%20la%20fondation%20Arp%20%C3%A0%20Clamart.jpg
http://www.wikidata.org/entity/Q15731380,musée national de Malmaison et Bois-Préau,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Chateau_de_Malmaison.jpg/1920px-Chateau_de_Malmaison.jpg
http://www.wikidata.org/entity/Q2391572,musée des Avelines,http://commons.wikimedia.org/wiki/Special:FilePath/Saint-Cloud%20Mus%C3%A9e%20des%20Avelines%20003.JPG
http://www.wikidata.org/entity/Q88645654,musée d'art et d'histoire de l'hôpital Sainte-Anne,https://upload.wikimedia.org/wikipedia/commons/e/ea/Entr%C3%A9e_h%C3%B4pital_Sainte-Anne%2C_rue_Cabanis.JPG
http://www.wikidata.org/entity/Q2714932,musée de la Vie romantique,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20Mus%C3%A9e%20vie%20romantique%202012.jpg
http://www.wikidata.org/entity/Q1889428,musée des Monuments français,http://commons.wikimedia.org/wiki/Special:FilePath/Cit%C3%A9%20de%20lArchitecture%20et%20du%20Patrimoine%208%2C%20Paris%202012.jpg
http://www.wikidata.org/entity/Q1632912,musée Galliera,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Galliera%2C%20Paris%2021%20July%202017.jpg
http://www.wikidata.org/entity/Q1319378,musée des Arts décoratifs,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20des%20Arts%20D%C3%A9coratifs%202009%20001.jpg
http://www.wikidata.org/entity/Q19675,Musée du Louvre,http://commons.wikimedia.org/wiki/Special:FilePath/Cour%20Napol%C3%A9on%20at%20night%20-%20Louvre.jpg
http://www.wikidata.org/entity/Q977732,musée d'art et d'histoire du judaïsme,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20-%20H%C3%B4tel%20de%20Saint-Aignan%20-%20Muse%C3%A9%20du%20Juda%C3%AFsme.jpg
http://www.wikidata.org/entity/Q3329933,musée de la Monnaie de Paris,http://commons.wikimedia.org/wiki/Special:FilePath/2018%20H%C3%B4tel%20des%20Monnaies%203.jpg
http://www.wikidata.org/entity/Q23402,musée d'Orsay,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20d%27Orsay%2C%20North-West%20view%2C%20Paris%207e%20140402.jpg
http://www.wikidata.org/entity/Q23600018,musée napoléonien d'art et d'histoire militaires,http://commons.wikimedia.org/wiki/Special:FilePath/2021-05-22%2016-54-27%20-%20Fontainebleau%20-%20exposition%20l%E2%80%99extraordinaire%20collection%20d%E2%80%99armes%20blanches%20de%20ma%C3%AEtre%20Prost.jpg
http://www.wikidata.org/entity/Q2415229,musée Henri-Chapu,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20M%C3%A9e-Mus%C3%A9e%20Chapu.jpg
http://www.wikidata.org/entity/Q105988788,Musée Daubigny,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Daubigny%2C%20au%20manoir%20des%20Colombi%C3%A8res%2C%20Auvers-sur-Oise-2350.jpg
http://www.wikidata.org/entity/Q30538871,musée national de la Renaissance,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89couen%20%2895%29%2C%20ch%C3%A2teau%2C%20vue%20g%C3%A9n%C3%A9rale%20depuis%20l%27est%203.JPG
